id_maison,nb_chambre,nb_wc,surface,date_creation,type,équipement,price
501,4,1,1336.0,7/10/2006,apartment,balcon,"€1251,08"
502,1,2,4129.0,3/30/2015,apartment,,"€826,40"
503,1,2,1873.0,9/21/2020,duplex,,"€1438,56"
504,1,1,1085.0,12/1/2014,,,"€879,87"
505,3,2,1090.0,10/21/2015,apartment,parking,"€890,21"
506,2,2,1588.0,9/20/2008,apartment,Internet,"€1762,85"
507,4,2,1614.0,10/11/2008,villa,balcon,"€1379,16"
508,3,2,2599.0,9/21/2020,apartment,balcon,"€508,44"
509,3,2,,7/31/2012,detached house,,"€1793,26"
510,3,2,4905.0,2/8/2004,apartment,,"€1436,31"
511,1,3,3028.0,12/3/2010,villa,Internet,"€983,57"
512,1,1,550.0,2/20/2003,detached house,climatisation,"€1036,40"
513,3,3,881.0,2/13/2004,studio,parking,"€852,63"
514,4,2,586.0,10/15/2011,detached house,,"€1069,23"
515,3,2,4333.0,6/8/2020,duplex,,"€741,58"
516,4,2,3004.0,5/23/2016,apartment,balcon,"€460,38"
517,4,3,686.0,8/25/2003,villa,,"€849,45"
518,2,1,2227.0,10/6/2020,studio,,"€433,53"
519,3,1,2488.0,3/30/2010,studio,climatisation,"€1266,61"
520,3,3,2089.0,3/14/2017,detached house,parking,"€1833,12"
521,3,2,3897.0,4/23/2008,detached house,,"€771,14"
522,3,2,4319.0,1/21/2019,apartment,,"€409,16"
523,4,3,1071.0,7/1/2006,duplex,,"€1002,81"
524,1,3,4216.0,9/30/2020,villa,,"€1922,60"
525,1,3,2903.0,6/21/2019,apartment,balcon,"€1008,87"
526,2,1,3027.0,12/16/2005,duplex,balcon,"€1951,75"
527,4,3,3158.0,6/17/2003,apartment,,"€629,72"
528,2,3,3047.0,7/29/2017,villa,Internet,"€1925,60"
529,4,1,2238.0,1/15/2013,villa,,"€1174,62"
530,2,3,1303.0,5/19/2011,studio,,"€1297,94"
531,4,2,3573.0,7/23/2016,studio,balcon,"€1777,24"
532,2,3,3651.0,3/5/2008,duplex,climatisation,"€1060,07"
533,1,3,527.0,2/10/2007,duplex,,"€1317,35"
534,1,1,3540.0,12/18/2009,apartment,,"€1703,84"
535,2,1,830.0,9/11/2013,detached house,Internet,"€1194,61"
536,1,3,1219.0,8/29/2005,duplex,,"€1751,67"
537,4,1,627.0,1/18/2015,duplex,,"€1052,12"
538,4,3,3535.0,3/20/2014,apartment,balcon,"€505,28"
539,1,3,2424.0,12/17/2019,villa,balcon,"€444,98"
540,3,3,3010.0,7/3/2018,apartment,,"€1627,56"
541,1,2,2717.0,6/5/2011,apartment,,"€1013,67"
542,4,1,1517.0,9/12/2004,duplex,,"€527,90"
543,3,1,1711.0,1/14/2015,detached house,balcon,"€1756,26"
544,1,1,1403.0,6/12/2011,duplex,Internet,"€959,57"
545,1,1,3609.0,4/8/2005,studio,,"€1731,73"
546,1,3,654.0,3/28/2015,duplex,,"€676,27"
547,4,2,3762.0,1/28/2015,villa,,"€948,72"
548,1,1,2045.0,3/31/2003,duplex,climatisation,"€1801,62"
549,2,2,1780.0,7/8/2008,apartment,,"€500,89"
550,4,1,856.0,9/30/2004,villa,balcon,"€1547,05"
551,1,1,968.0,1/7/2014,detached house,,"€930,62"
552,4,1,857.0,7/4/2014,studio,,"€471,71"
553,1,1,2139.0,10/18/2014,apartment,,"€422,09"
554,1,2,3132.0,4/28/2015,apartment,,"€410,29"
555,3,1,574.0,8/10/2003,villa,,"€788,08"
556,1,1,731.0,9/24/2009,apartment,Internet,"€741,18"
557,2,2,543.0,4/17/2016,detached house,,"€860,12"
558,2,3,4863.0,4/8/2018,apartment,climatisation,"€1907,00"
559,3,3,2319.0,9/29/2019,apartment,,"€1148,87"
560,4,3,4521.0,2/26/2016,detached house,,"€1631,40"
561,4,1,2774.0,6/26/2017,studio,,"€1812,53"
562,1,2,2503.0,5/13/2012,villa,,"€847,74"
563,4,2,3659.0,11/18/2015,detached house,balcon,"€1740,63"
564,1,2,2825.0,9/10/2003,studio,climatisation,"€1619,80"
565,4,3,1315.0,6/4/2010,villa,,"€1215,41"
566,3,3,2921.0,5/27/2007,detached house,,"€1863,04"
567,4,2,968.0,1/5/2004,detached house,,"€587,46"
568,1,3,4402.0,1/27/2020,duplex,,"€1864,15"
569,2,3,3451.0,4/14/2003,apartment,Internet,"€1295,01"
570,4,3,3413.0,10/7/2013,detached house,,"€866,11"
571,1,3,1079.0,5/25/2004,studio,Internet,"€1305,66"
572,2,2,1978.0,10/19/2018,detached house,parking,"€1105,05"
573,3,3,1867.0,7/6/2011,detached house,climatisation,"€1990,58"
574,2,1,1253.0,5/31/2010,studio,,"€1400,88"
575,3,2,3525.0,6/13/2010,apartment,,"€1345,30"
576,4,1,4704.0,4/10/2010,villa,,"€1042,71"
577,1,2,1954.0,7/26/2008,studio,,"€1694,74"
578,4,3,589.0,1/11/2004,villa,Internet,"€1749,19"
579,2,1,,3/31/2019,studio,,"€588,44"
580,2,1,2778.0,9/5/2009,duplex,,"€1228,73"
581,4,2,3596.0,4/3/2003,villa,,"€1761,70"
582,4,3,1837.0,11/11/2003,detached house,,"€619,67"
583,2,2,2644.0,10/21/2003,studio,,"€1793,77"
584,3,1,3805.0,3/5/2017,duplex,,"€1201,27"
585,2,1,3641.0,12/6/2011,apartment,climatisation,"€1196,97"
586,3,3,4452.0,7/20/2005,duplex,,"€1899,24"
587,2,3,3992.0,3/11/2008,detached house,,"€1396,76"
588,4,2,3888.0,1/11/2020,detached house,parking,"€1227,08"
589,4,3,1325.0,7/30/2003,studio,climatisation,"€678,07"
590,2,2,3723.0,9/14/2018,apartment,balcon,"€1223,69"
591,4,2,3227.0,8/7/2017,villa,,"€1299,00"
592,4,2,3908.0,3/10/2008,detached house,,"€674,95"
593,1,1,1222.0,2/20/2018,apartment,,"€1202,30"
594,1,2,3290.0,10/24/2019,villa,,"€1476,72"
595,1,1,1778.0,4/26/2003,apartment,,"€743,34"
596,4,2,1590.0,8/29/2008,duplex,,"€1787,39"
597,1,3,2015.0,9/22/2019,apartment,,"€1078,76"
598,4,1,4628.0,9/4/2004,studio,,"€614,10"
599,2,2,3676.0,3/9/2013,villa,,"€1859,17"
600,1,2,1444.0,12/29/2012,apartment,balcon,"€425,69"
601,2,3,790.0,1/30/2005,apartment,,"€1398,72"
602,2,1,847.0,6/13/2013,studio,balcon,"€1595,81"
603,4,1,,12/21/2004,studio,,"€421,92"
604,1,2,995.0,3/31/2006,detached house,,"€1278,97"
605,3,1,3766.0,12/13/2010,apartment,,"€1571,77"
606,3,3,4786.0,6/15/2019,detached house,balcon,"€1744,80"
607,3,3,3032.0,2/13/2017,studio,balcon,"€1969,27"
608,4,2,2560.0,7/14/2003,duplex,,"€845,86"
609,4,1,4129.0,9/12/2004,duplex,,"€1009,40"
610,1,2,3838.0,5/11/2010,studio,parking,"€926,63"
611,3,3,3344.0,1/25/2011,villa,,"€1448,24"
612,2,3,4488.0,12/16/2009,detached house,,"€1246,57"
613,2,2,1164.0,9/9/2004,apartment,Internet,"€1803,60"
614,4,1,1847.0,12/28/2006,detached house,climatisation,"€1043,66"
615,3,1,2036.0,2/16/2009,studio,,"€790,39"
616,2,3,3563.0,11/16/2011,,parking,"€1441,94"
617,1,2,1303.0,2/24/2010,studio,,"€1243,23"
618,1,1,2842.0,10/4/2020,duplex,,"€616,68"
619,2,2,2950.0,5/9/2005,detached house,,"€1421,23"
620,1,1,2321.0,9/26/2020,villa,climatisation,"€825,17"
621,1,3,3998.0,11/2/2019,duplex,balcon,"€1011,10"
